Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
55;54;54;Intolerance;Griffith, D.W.;1916;US;178;Historical-Drama;BW;Amazon;IMDB;Goog
56;56;56;Wild Strawberries;Bergman, Ingmar;1957;Sweden;90;Drama;BW;Amazon;IMDB;Goog
57;57;57;North by Northwest;Hitchcock, Alfred;1959;US;136;Thriller-Spy-Romance;Col;Amazon;IMDB;Goog
58;59;58;Rio Bravo;Hawks, Howard;1959;US;141;Western;Col;Amazon;IMDB;Goog
59;58;59;Apartment, The;Wilder, Billy;1960;US;125;Drama-Comedy;BW;Amazon;IMDB;Goog
60;60;60;Au hasard Balthazar;Bresson, Robert;1966;France;95;Drama;BW;Amazon;IMDB;Goog
61;66;66;Wizard of Oz, The;Fleming, Victor;1939;US;101;Musical-Fantasy-Family;Col-BW;Amazon;IMDB;Goog
62;63;64;Pather Panchali;Ray, Satyajit;1955;India;112;Drama;BW;Amazon;IMDB;Goog
63;61;62;Once Upon a Time in the West;Leone, Sergio;1968;Italy-US;165;Western;Col;Amazon;IMDB;Goog
64;64;61;Gone with the Wind;Fleming, Victor;1939;US;222;Historical-Romance-Drama;Col;Amazon;IMDB;Goog
65;65;65;Leopard, The;Visconti, Luchino;1963;Italy;205;Historical-Drama-War;Col;Amazon;IMDB;Goog
66;62;63;Conformist, The;Bertolucci, Bernardo;1969;Italy-France-Germany;115;Political-Drama;Col;Amazon;IMDB;Goog
67;67;68;Mirror, The;Tarkovsky, Andrei;1976;USSR;106;Drama;Col;Amazon;IMDB;Goog
68;69;67;Greed;von Stroheim, Erich;1924;US;140;Drama;BW;Amazon;IMDB;Goog
69;68;70;All About Eve;Mankiewicz, Joseph L.;1950;US;138;Drama;BW;Amazon;IMDB;Goog
70;70;73;Viridiana;Buñuel, Luis;1961;Spain;90;Drama;BW;Amazon;IMDB;Goog
71;71;69;Metropolis;Lang, Fritz;1926;Germany;120;Fantasy-Science Fiction-Drama;BW;Amazon;IMDB;Goog
72;72;71;Man Who Shot Liberty Valance, The;Ford, John;1962;US;119;Western;BW;Amazon;IMDB;Goog
73;75;89;Jaws;Spielberg, Steven;1975;US;124;Horror-Thriller-Adventure;Col;Amazon;IMDB;Goog
74;79;91;Battle of Algiers, The;Pontecorvo, Gillo;1965;Algeria-Italy;123;War-Political-Drama;BW;Amazon;IMDB;Goog
75;78;75;Fanny and Alexander;Bergman, Ingmar;1982;Sweden;189;Drama;Col;Amazon;IMDB;Goog
76;76;74;Nashville;Altman, Robert;1975;US;159;Drama;Col;Amazon;IMDB;Goog
77;74;76;Amarcord;Fellini, Federico;1973;Italy;127;Drama-Comedy;Col;Amazon;IMDB;Goog
78;73;72;To Be or Not to Be [1942];Lubitsch, Ernst;1942;US;99;War-Comedy;BW;Amazon;IMDB;Goog
79;84;84;Barry Lyndon;Kubrick, Stanley;1975;UK;183;Drama;Col;Amazon;IMDB;Goog
80;77;90;Clockwork Orange, A;Kubrick, Stanley;1971;UK;137;Science Fiction-Crime-Drama;Col;Amazon;IMDB;Goog
81;80;77;Notorious;Hitchcock, Alfred;1946;US;101;Romance-Thriller-Mystery;BW;Amazon;IMDB;Goog
82;81;83;Stagecoach;Ford, John;1939;US;96;Western-Action-Drama;BW;Amazon;IMDB;Goog
83;83;79;Ikiru;Kurosawa, Akira;1952;Japan;143;Drama;BW;Amazon;IMDB;Goog
84;82;87;Sansho the Bailiff;Mizoguchi, Kenji;1954;Japan;125;Drama;BW;Amazon;IMDB;Goog
85;89;85;Aguirre: The Wrath of God;Herzog, Werner;1972;Germany;94;Historical-Drama-Adventure;Col;Amazon;IMDB;Goog
86;86;92;Pierrot le fou;Godard, Jean-Luc;1965;France-Italy;110;Romance-Drama-Crime;Col;Amazon;IMDB;Goog
87;96;105;Annie Hall;Allen, Woody;1977;US;94;Romance-Comedy;Col;Amazon;IMDB;Goog
88;85;78;Madame de...;Ophüls, Max;1953;France-Italy;105;Romance-Drama;BW;Amazon;IMDB;Goog
89;98;97;Double Indemnity;Wilder, Billy;1944;US;106;Mystery-Crime;BW;Amazon;IMDB;Goog
90;92;88;Playtime;Tati, Jacques;1967;France;108;Comedy;Col;Amazon;IMDB;Goog
91;90;94;On the Waterfront;Kazan, Elia;1954;US;108;Drama;BW;Amazon;IMDB;Goog
92;87;86;Voyage in Italy;Rossellini, Roberto;1953;Italy;97;Romance-Drama;BW;Amazon;IMDB;Goog
93;88;81;Pickpocket;Bresson, Robert;1959;France;75;Drama-Crime;BW;Amazon;IMDB;Goog
94;91;82;Letter from an Unknown Woman;Ophüls, Max;1948;US;90;Romance-Drama;BW;Amazon;IMDB;Goog
95;94;80;Bringing Up Baby;Hawks, Howard;1938;US;102;Romance-Comedy;BW;Amazon;IMDB;Goog
96;95;95;My Darling Clementine;Ford, John;1946;US;97;Western;BW;Amazon;IMDB;Goog
97;102;101;Man with a Movie Camera, The;Vertov, Dziga;1929;USSR;80;Documentary-Avant-Garde;BW;Amazon;IMDB;Goog
98;97;98;Rome, Open City;Rossellini, Roberto;1945;Italy;105;War-Drama;BW;Amazon;IMDB;Goog
99;93;96;GoodFellas;Scorsese, Martin;1990;US;146;Drama-Crime;Col;Amazon;IMDB;Goog
100;100;104;Star Wars;Lucas, George;1977;US;121;Science Fiction-Fantasy-Adventure;Col;Amazon;IMDB;Goog
101;99;93;Last Year at Marienbad;Resnais, Alain;1961;France-Italy;94;Drama-Mystery-Avant-Garde;BW;Amazon;IMDB;Goog
102;105;99;Blue Velvet;Lynch, David;1986;US;120;Mystery-Crime-Drama;Col;Amazon;IMDB;Goog
103;103;103;Nosferatu;Murnau, F.W.;1922;Germany;84;Horror;BW;Amazon;IMDB;Goog
104;104;100;Duck Soup;McCarey, Leo;1933;US;70;Comedy;BW;Amazon;IMDB;Goog
105;101;106;His Girl Friday;Hawks, Howard;1940;US;92;Romance-Comedy;BW;Amazon;IMDB;Goog
106;108;110;King Kong [1933];Cooper, Merian C./Ernest B. Schoedsack;1933;US;103;Fantasy-Adventure-Horror;BW;Amazon;IMDB;Goog
107;106;102;Âge d'or, L';Buñuel, Luis;1930;France;63;Drama-Avant-Garde-Experimental;BW;Amazon;IMDB;Goog
108;107;108;Napoléon [1927];Gance, Abel;1927;France;235;War-Historical-Biography;BW;Amazon;IMDB;Goog
109;109;107;Hiroshima mon amour;Resnais, Alain;1959;France-Japan;91;Drama;BW;Amazon;IMDB;Goog
